debate_id	title	1-distance_v1	1-interval_v2	order_v1	rally_v1	score
0	The Kansai 2018 R4	0.29166666666666674	0.0717299578059073	0.40484429065743943	0.5149038461538462	2.5563515123387113
1	The Kansai 2019 R1	0.3910256410256411	0.08016877637130804	0.6130030959752323	0.4903846153846154	2.6321932939628985
2	【CJS入門レクチャー①】mixidea高校定期練習【prisonerに選挙権を与えるべきか】	0.44444444444444453	0.47679324894514774	0.7941176470588236	0.4509283819628648	2.323808335632096
3	【HPDU直前追い込み練習!!】mixidea定期高校練習【議会に女性クオータ導入の是非】	0.3055555555555556	1.0	0.6978609625668449	0.4112903225806452	1.8035957295919345
4	【The Kansai 2023 】 Round 1うりぼーA VS APカード【RFD: Tota】	0.2857142857142858	0.7718736959243289	0.4343891402714932	0.5480769230769231	1.9248780817098017
5	【The関西GFモーションを高校生にやってもらった】mixidea高校生定期練習	0.0	1.0	0.6965944272445821	0.6312997347480106	2.327894161992593
6	【gangの構成員を逮捕!？】mixidea高校定期練習【あんちゃん、野球やろっか】	0.48863636363636365	0.7215189873417722	0.6274509803921569	0.6346153846153847	2.0519110140294057
7	【mixidea高校定期練習】 May_s Tournamement優勝候補 vs 富士見高校+第五	0.4642857142857143	0.721263265567063	0.5294117647058824	0.6538461538461539	1.997708938699259
8	【tiger parenting】mixidea高校定期練習	0.6306818181818181	0.20851300598136047	0.23017902813299232	0.4903846153846154	1.8813688193544291
9	【ゲスト： 大村さん、榎本さん】mixidea高校定期練習【2nd スピーカーの役割レクチャー + ラウンド】	0.5357142857142857	0.546112115732369	0.5173796791443851	0.6183110367892978	2.0538643144870283
10	【スマホでpolice brutalityを潰そう】mixidea高校定期練習	0.16666666666666674	0.739803094233474	0.7737556561085973	0.20647773279352227	2.073763628001979
11	【デュエルしようぜ】mixidea高校定期練習	0.53125	0.5418927064496685	0.41596638655462187	0.5646853146853148	1.9075089947902684
12	【子なし世帯への重課税!？】mixidea高校定期練習 【もりかんのやさしみ溢れるRFD】	0.4642857142857143	1.0	1.0	0.5384615384615384	2.074175824175824
13	【小石川高校 vs WSDC連合】高校定期練【高校生のバイトって実際どうなん】	0.6370967741935484	0.9079401611047181	0.41911764705882354	0.6937148217636022	1.5677955335241593
14	【政治家の私生活報道】mixidea定期高校練習	0.41176470588235303	0.5126582278481013	0.37466063348416295	0.9390343698854339	2.3892720696391425
15	【民営化 vs 国営化】mixidea高校定期練習	0.6153846153846154	0.0	0.36470588235294116	1.0	2.749321266968326
16	【確かに戦隊モノって女性ヒーローいないよに】mixidea高校定期練習	0.45000000000000007	0.031325917401866854	0.9653979238754326	0.30649038461538464	2.79056239108895
17	銀杏杯2016 Oct Fainal gov JOINT B vs. opp Kyoto B	0.4078947368421053	0.17788141239173894	0.7801857585139319	0.4509283819628648	2.645337991242952
18	銀杏杯 Pre-Oct gov JOINTB  vs  opp HitU-E	0.84375	0.8481012658227849	0.9264705882352942	0.6538461538461539	1.8884654762586632
19	銀杏杯 2016 Oct. Gov.NitA Opp.KDS	0.375	0.9156118143459916	0.5294117647058824	0.7959866220735787	2.0347865724334695
